曲名,平均密度,音符数-1
第六天魔王(裏譜面),11.834,1581
Infinite Rebellion,11.800,1303
幽玄ノ乱,10.504,1261
第六天魔王,10.442,1395
Central Dogma Pt.1(裏譜面),10.418,1258
神竜 ～Shinryu～(裏譜面),10.037,1364
23時54分、陽の旅路へのプレリュード(裏譜面),9.827,1422
CUT! into the FUTURE(裏譜面),9.730,1337
モノクロボイス(裏譜面),9.704,1304
赤と白薔薇の魔女,9.586,1110
ダンガンノーツ(裏譜面),9.541,1166
憎悪と醜悪の花束(裏譜面),9.506,1169
The Future of the 太鼓ドラム(裏譜面),9.489,1399
Vixtory(裏譜面),9.406,1239
Nosferatu(裏譜面),9.402,1352
Calamity Fortune(裏譜面),9.383,1216
弧,9.197,1137
気焔万丈神楽,9.102,1140
POLARiSNAUT,9.018,1233
疾風怒濤(裏譜面),8.983,1082
プチポチ,8.939,876
冷凍庫CJ ～嗚呼面太鼓ブラザーズ～,8.932,786
Rotter Tarmination(裏譜面),8.927,942
オペレート・ミー(裏譜面),8.922,1336
最果の魔法使い(裏譜面),8.914,1166
Xevel,8.898,1128
Coquette,8.863,1021
Emma(裏譜面)(達人譜面),8.862,1073
アンリミテッドゲームズ(裏譜面),8.817,1209
!!!カオスタイム!!!,8.794,986
Silent Jealousy(裏譜面),8.794,1407
LΔchesis(裏譜面),8.695,1023
Behemoth,8.694,998
!!!チルノのパーフェクトさんすうタイム!!!,8.692,998
そして勇者は眠りにつく(裏譜面),8.665,1315
初音ミクの消失 ‐劇場版‐(裏譜面),8.661,998
星屑ストラック(裏譜面),8.652,1043
或ル不和,8.637,995
Clotho クロートー,8.602,982
Black Rose Apostle(裏譜面),8.596,914
マツヨイナイトバグ(裏譜面),8.544,1088
UNDEAD HEART(怒りのWarriors)(達人譜面),8.501,1133
Irregular Clock(裏譜面),8.459,1158
メカデス。(裏譜面),8.378,998
MEGALOVANIA(裏譜面),8.375,1071
BLAZING VORTEX(裏譜面),8.366,1207
竜と黒炎の姫君(裏譜面),8.359,931
Hurtling Boys,8.334,902
Calamity Fortune,8.318,1068
まださいたま2000(達人譜面),8.313,998
ギガンティックO.T.N(裏譜面),8.306,1082
〆ドレー2000,8.293,1413
極圏,8.284,943
D絶対！SAMURAIインザレイン(裏譜面),8.259,999
まるくてはやくてすさまじいリズム,8.248,977
カラフルボイス(裏譜面),8.243,1120
幕末維新譚,8.236,1108
魑魅魍魎,8.235,1084
Black Rose Apostle,8.230,875
≠MM,8.225,1289
怒槌,8.216,1193
双竜ノ乱,8.216,969
Central Dogma Pt.2,8.213,974
Taiko Drum Monster(裏譜面),8.213,1043
Scarlet Lance,8.203,999
Kill My Fortune(裏譜面),8.172,1106
万戈イム－一ノ十,8.168,998
まださいたま2000(普通譜面),8.163,980
ヘイラ(裏譜面),8.158,818
ヘイラ(ましろ爻)(裏譜面),8.158,818
めためた☆ゆにば～すっ！(裏譜面)(達人譜面),8.152,875
Unwelcome School (MRM REMIX)(裏譜面),8.149,1243
デッド・オア・ダイ,8.147,1095
Player's High,8.143,912
弩蚊怒夏,8.128,999
GIGALODOON(裏譜面),8.127,1089
秋竜 ～Shiuryu～(裏譜面),8.113,1044
UFO Swingin',8.105,755
UNDEAD HEART(怒りのWarriors)(玄人譜面),8.095,1079
Dreadnought(裏譜面),8.090,1074
束ね糸,8.088,975
とける(裏譜面),8.081,981
絡繰廻廊,8.076,899
ARMAGEΔDON,8.072,998
Xa(裏譜面),8.067,903
カルメン 組曲一番終曲(裏譜面),8.067,956
狂瀾怒濤(裏譜面),8.063,1107
仮想現実のテレスコープ(裏譜面),8.039,1175
朱の旋律,8.037,901
Destination 2F29,8.033,994
Stick Trick ShowTime!!,8.024,917
拝啓ドッペルゲンガー,8.021,900
たいこの2000,8.016,1007
poxei♦DOON,8.010,1209
for Q(裏譜面),7.997,1110
GERBERA,7.984,972
SUPERNOVA(裏譜面),7.983,1102
ラパスの虹(裏譜面),7.976,908
ドドドドドンだフル！(裏譜面),7.967,888
そつおめしき2ばん,7.966,791
そつおめしき,7.956,796
はたラク2000,7.951,875
練習曲Op.10-4(裏譜面),7.948,947
Genesis Ray(裏譜面),7.917,984
ダンガンノーツ,7.909,922
電脳幻夜の星言詠,7.900,900
彁(裏譜面),7.874,1069
白鳥の湖(裏譜面),7.871,860
ラヴ♡スパイス♡ライクユー!!! ,7.854,933
郢曲／暁闇,7.853,992
ラ・モレーナ・クモナイ(裏譜面),7.852,1118
Mood Swing(裏譜面),7.850,961
ゴーゴー・キッチン(裏譜面),7.835,939
BATTLE NO.1(達人譜面),7.828,984
パン vs ごはん！ 大決戦！(達人譜面),7.819,823
パン vs ごはん！ 大決戦！(裏譜面)(達人譜面),7.819,823
業 -善なる神とこの世の悪について-(裏譜面),7.816,1194
転生〈TENSEI〉-喜与志が待つ強者-(裏譜面),7.813,998
氷竜 ～Kooryu～(裏譜面),7.809,1058
チルノのパーフェクトさんすう教室(裏譜面),7.794,938
ouroboros -twin stroke of the end-,7.794,1133
儚姫は原初に舞う(裏譜面),7.788,913
カラフル,7.787,738
スーパーD＆D～完全にリードしてアイマイミー～,7.744,999
YOAKE,7.737,964
さちさちにしてあげる♪(裏譜面),7.734,742
Emma(裏譜面)(玄人譜面),7.730,936
六本の薔薇と采の歌(裏譜面)(達人譜面),7.722,1176
ゴッドソング(裏譜面),7.709,913
"Hello, Worldooon!!(裏譜面)",7.701,953
†バチ!ムチ!?マッスルキングダム†,7.699,960
UNDEAD HEART(怒りのWarriors)(普通譜面),7.698,1026
HARDCOREノ心得,7.690,884
Diving Drive,7.684,891
λ7708,7.683,787
ピコピコ ルイン(裏譜面),7.675,999
セイクリッド ルイン(裏譜面),7.675,999
ヒバナ(裏譜面),7.674,1036
蒼の旋律(裏譜面),7.656,975
頂,7.646,880
χ談,7.636,950
Evidence of evil,7.634,813
ANiMA,7.628,838
キューティー☆デモニック☆魔人エモ!!,7.626,1074
ナイトメア・サバイバー(裏譜面),7.617,875
ウィーアー！(きただにひろし)(裏譜面),7.610,829
きゅうくらりん(裏譜面),7.589,861
Goldfish City,7.581,875
EterNal Ring,7.559,901
続・〆ドレー2000,7.558,939
8OROCHI(裏譜面),7.555,1000
チルノのパーフェクトさんすう教室 ⑨周年バージョン(裏譜面),7.545,908
青天の黎明,7.538,999
God Ray,7.532,776
最終鬼畜妹フランドール・S,7.531,944
FREEDOM DiVE↓,7.521,1023
アキバ20XX,7.500,818
ペットショップ大戦,7.462,695
あめふりのロンド(裏譜面),7.455,896
森羅万象(達人譜面),7.453,983
美しく忙しきドナウ(裏譜面),7.443,1037
SstTAarR*,7.430,847
GORI × GORI × SafaRI(裏譜面),7.427,1053
螺旋周回軌道(裏譜面),7.426,968
Angel Halo,7.417,897
Aragami,7.395,838
mint tears,7.394,764
天下統一録,7.381,987
紫煌ノ乱,7.374,822
