# https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E5%B9%B3%E5%9D%87%E5%AF%86%E5%BA%A6%E9%A0%86/%E3%81%8A%E3%81%AB/%E2%98%85%C3%979
曲名,平均密度,音符数-1
やわらか戦車(裏譜面),8.880,888
LOVE戦!!(裏譜面),8.206,941
Wasabi Body Blow,8.188,958
闇の魔法少女,7.911,1157
めたるぽりす(裏譜面),7.701,764
Turquoise Tachometer,7.656,834
珈琲の味と,7.585,925
スカーレット警察のゲットーパトロール24時(裏譜面)(達人譜面),7.584,878
シン・ゾンビ(達人譜面),7.556,793
時空庁時空1課,7.489,835
勇者(裏譜面),7.456,656
Smile！ Smile！ Smile！(裏譜面),7.412,297
# スカーレット警察のゲットーパトロール24時(裏譜面)(普通譜面),7.411,858
twinkle night (feat. somunia)(裏譜面),7.407,816
who are you? who are you?(裏譜面),7.373,948
アイドル狂戦士(feat.佐藤貴文)(裏譜面),7.334,853
ルカルカ★ナイトフィーバー(裏譜面),7.330,635
患部で止まってすぐ溶ける ～ 狂気の優曇華院,7.328,914
蒼の旋律,7.319,932
元祖！天才チルノちゃん☆,7.298,858
華蕾夢ミル狂詩曲～魂ノ導～(裏譜面),7.292,831
# シン・ゾンビ(普通譜面),7.280,764
夜桜謝肉祭,7.261,985
The Carnivorous Carnival,7.259,776
大好きな太鼓の音(裏譜面),7.225,875
punk bastards,7.195,748
