曲名,平均密度,音符数-1
やわらか戦車(裏譜面),8.880,888
LOVE戦!!(裏譜面),8.206,941
Wasabi Body Blow,8.188,958
闇の魔法少女,7.911,1157
めたるぽりす(裏譜面),7.701,764
Turquoise Tachometer,7.656,834
珈琲の味と,7.585,925
スカーレット警察のゲットーパトロール24時(裏譜面)(達人譜面),7.584,878
シン・ゾンビ(達人譜面),7.556,793
時空庁時空1課,7.489,835
勇者(裏譜面),7.456,656
Smile！ Smile！ Smile！(裏譜面),7.412,297
スカーレット警察のゲットーパトロール24時(裏譜面)(普通譜面),7.411,858
twinkle night (feat. somunia)(裏譜面),7.407,816
who are you? who are you?(裏譜面),7.373,948
アイドル狂戦士(feat.佐藤貴文)(裏譜面),7.334,853
ルカルカ★ナイトフィーバー(裏譜面),7.330,635
患部で止まってすぐ溶ける ～ 狂気の優曇華院,7.328,914
蒼の旋律,7.319,932
元祖！天才チルノちゃん☆,7.298,858
華蕾夢ミル狂詩曲～魂ノ導～(裏譜面),7.292,831
シン・ゾンビ(普通譜面),7.280,764
夜桜謝肉祭,7.261,985
The Carnivorous Carnival,7.259,776
大好きな太鼓の音(裏譜面),7.225,875
punk bastards,7.195,748
B.B.K.K.B.K.K.,7.185,852
モルフォ,7.184,713
Scream out！ ‐達人Edit.‐(裏譜面),7.152,998
ヒカリアレ,7.142,638
練習曲Op.10-4,7.142,851
脳漿炸裂ガール(裏譜面),7.065,709
CYBERgenicALICE,6.992,644
CYBERgenicALICE(先斗寧),6.992,644
魔理沙は大変なものを盗んでいきました,6.988,809
熊蜂の飛行,6.968,629
ミックスナッツ(裏譜面),6.966,599
Scars of FAUNA,6.955,779
おにぎりはどこかしら♪,6.950,853
チェインクロニクル 最終決戦メドレー(裏譜面),6.950,819
鳳凰天舞無限崩れ,6.949,688
激運！七福ハッピークルー,6.949,776
大空と太鼓の踊り,6.935,863
一世風靡(達人譜面),6.913,866
シャイニング☆アブラカタブラ,6.910,665
春竜 ～Haryu～(裏譜面),6.886,832
Hyper Bass (feat. Yunomi),6.871,876
行かないでイカロス,6.864,665
フォニイ(裏譜面),6.860,920
Princess of Donder,6.853,764
ALiVE,6.848,829
神様の言うとおりに(裏譜面),6.840,832
クロス・ブルー,6.840,961
ガンスリンガーシンデレラ,6.829,860
さんぽ(裏譜面),6.820,815
天妖ノ舞,6.813,686
はやさいたま2000,6.813,569
自分REST@RT(裏譜面),6.804,764
リヒト(裏譜面),6.804,644
ギガンティックO.T.N,6.800,888
しょうゆ de Show you!,6.798,728
G意識過剰,6.778,789
RAINBOW★SKY,6.776,767
＋♂(プラス男子)(裏譜面),6.759,899
アサルト BGM1(裏譜面),6.756,760
Heat Haze Shadow 2,6.745,764
絆ノ奇跡(裏譜面),6.739,598
Brain Power,6.732,707
セイクリッド ルイン,6.722,875
ピコピコ ルイン,6.722,875
パラレルロリポップ,6.712,706
恋文2000,6.701,776
六兆年と一夜物語,6.659,845
GO GET'EM！(裏譜面),6.643,647
愛なんだぜ,6.637,623
初音ミクの消失 ‐劇場版‐,6.630,764
ナマハゲノウタ,6.614,779
希望へのメロディー(裏譜面),6.608,930
TOKIMEKI♡ですとろいやー！！,6.607,781
Irregular Clock,6.604,904
少女の神の粒子,6.588,998
猫サンキュー,6.583,638
マオウのショウタイム,6.575,887
ケロ⑨destiny,6.572,768
マリオネットピュア,6.571,618
マリオネットピュア(リゼ・ヘルエスタ),6.571,618
ラッスンゴレライ(裏譜面),6.561,805
Ridge Racer(裏譜面),6.533,943
カンタービレ×パッシオーネ(裏譜面),6.527,891
Rat A Tat!!!(裏譜面),6.527,566
Red Rose Evangel,6.513,764
華振舞,6.495,931
IN THE ZONE,6.483,764
食らいむ！まうんとぱふぇ,6.462,764
"AtoZ,I leave toZ",6.461,758
電子ドラムの達人,6.460,881
Unwelcome School (MRM REMIX),6.451,984
うまぴょい伝説(裏譜面),6.448,824
シンデレラ(裏譜面),6.448,977
カラフルボイス,6.440,875
ユースフルコースター,6.439,723
バイオレンストリガー,6.434,519
オパ！オパ！RACER ‐ GMT mashup ‐,6.427,681
Venomous,6.424,764
エンジェル ドリーム(裏譜面)(達人譜面=玄人譜面=普通譜面),6.418,905
エンジェル ドリーム(フレン・E・ルスタリオ)(裏譜面)(達人譜面=玄人譜面=普通譜面),6.418,905
Garakuta Doll Play,6.417,749
カグツチ,6.413,715
ラ・カンパネラ(裏譜面),6.411,704
魔導幻想曲,6.391,795
夜明けまであと3秒,6.390,813
Grip & Break down !! -達人Edit.-(裏譜面),6.387,776
ねこくじら(裏譜面),6.373,825
God knows...(裏譜面),6.362,937
愛×愛ホイッスル （カレーメシ公式曲）,6.357,948
KUSANAGI,6.341,744
幾望の月,6.330,838
音虫をつかまえろ！,6.324,645
スプラトゥーン2 メドレー(裏譜面),6.317,756
トラストゲーム,6.313,656
SAKURA EXHAUST,6.302,764
Shiny Kung-fu Revival,6.301,764
dance storm(裏譜面),6.300,764
Extreme MGG★★★(裏譜面),6.300,756
KARMA(Tatsujin Mix),6.298,875
冬竜 ～Toryu～(裏譜面),6.296,686
FooFooカセット,6.276,809
ヒカリノカナタヘ,6.268,796
Shine!!(裏譜面),6.259,545
Dragoon,6.250,764
オール・イン・マイハート,6.245,703
いっそこのままで,6.243,764
いっそこのままで(山神カルタ),6.243,764
ワールズエンド・ダンスホール,6.235,699
最果の魔法使い,6.234,808
チルノのパーフェクトさんすう教室 ⑨周年バージョン,6.232,750
New World,6.228,724
燃えよサファイア,6.221,787
らいとにんぐ ぱっしょん(裏譜面),6.217,764
3piece-JazzParty！,6.213,551
はいよろこんで(裏譜面),6.208,511
風魔モジュール6768(裏譜面),6.197,905
零の夜想曲(裏譜面),6.192,821
イオシス秋の肉食祭2014,6.182,847
ウサテイ,6.181,692
ナイト・オブ・ナイツ(達人譜面),6.181,650
チェインクロニクル 通常バトルメドレー(裏譜面),6.172,777
アスノヨゾラ哨戒班,6.158,718
ソードバトラーズ(裏譜面),6.153,603
フリフリ♪ノリノリ♪(裏譜面),6.148,664
Star!!(裏譜面),6.142,529
Leviathan,6.128,753
My Muscle Heart,6.126,833
DON'T CUT(裏譜面),6.122,753
マサカリブレイド,6.110,686
忘却のティルナノグ,6.109,793
迅風丸(裏譜面),6.098,658
Nosferatu,6.085,875
残響(裏譜面),6.074,531
ラパスの虹,6.053,688
FLOWER,6.044,720
ナイト・オブ・ナイツ(玄人譜面),6.038,635
Xa,6.022,674
零の狂詩曲,6.021,834
ナイト・オブ・ナイツ(普通譜面),6.019,633
Fallen Angel,6.013,844
Sunset Runaway,6.000,609
毒LOCANdy♡,5.994,776
私立高天原学園高校・校歌,5.992,828
合唱スタボーフェ！,5.978,672
めたるぽりす,5.978,593
凛,5.967,671
聖徳たいこの「日いずるまで飛鳥」(達人譜面),5.966,813
Got more raves？,5.965,701
泥の分際で私だけの大切を奪おうだなんて,5.958,769
TD - 28619029byte remix -,5.957,881
幻想即興曲,5.954,557
千鼓千鼓,5.944,775
六兆年と一夜物語(裏譜面),5.941,752
ミツボシ☆☆★(裏譜面),5.928,755
ダンスロボットダンス,5.927,875
JOIN THE PAC -太鼓の達人 Ver.-,5.913,605
1・2・さんしのでドンドカッカッ！(裏譜面),5.908,714
マジカル・パフェ,5.902,651
百鬼夜行(達人譜面),5.896,710
Shining Lights (feat. PSYQUI),5.896,861
ラビットホール,5.896,915
タイコタイム(達人譜面),5.892,764
Solitude Star,5.887,765
聖徳たいこの「日いずるまで飛鳥」(玄人譜面),5.885,802
サラえる,5.869,598
Heaven's Rider,5.863,713
SAMURAI ROCKET(裏譜面),5.853,887
Pastel Sealane,5.839,849
わんにゃーワールド,5.836,764
エイリアンエイリアン,5.834,745
サンバ アレグリーア(裏譜面),5.828,764
秋竜 ～Shiuryu～,5.820,749
散りゆく蘭の綴る詩,5.817,700
百鬼夜行(普通譜面=玄人譜面),5.816,710
Crystal Hail,5.798,816
アルムジカac14.0V,5.797,554
リンダは今日も絶好調(裏譜面),5.785,593
STAGE 0.ac11,5.785,764
