# https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E5%B9%B3%E5%9D%87%E5%AF%86%E5%BA%A6%E9%A0%86/%E3%81%8A%E3%81%AB/%E2%98%85%C3%9710
曲名,平均密度,音符数-1
第六天魔王(裏譜面),11.834,1581
Infinite Rebellion,11.800,1303
幽玄ノ乱,10.504,1261
第六天魔王,10.442,1395
Central Dogma Pt.1(裏譜面),10.418,1258
神竜 ～Shinryu～(裏譜面),10.037,1364
23時54分、陽の旅路へのプレリュード(裏譜面),9.827,1422
CUT! into the FUTURE(裏譜面),9.730,1337
モノクロボイス(裏譜面),9.704,1304
赤と白薔薇の魔女,9.586,1110
ダンガンノーツ(裏譜面),9.541,1166
憎悪と醜悪の花束(裏譜面),9.506,1169
The Future of the 太鼓ドラム(裏譜面),9.489,1399
Vixtory(裏譜面),9.406,1239
Nosferatu(裏譜面),9.402,1352
Calamity Fortune(裏譜面),9.383,1216
弧,9.197,1137
気焔万丈神楽,9.102,1140
POLARiSNAUT,9.018,1233
