# https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E5%B9%B3%E5%9D%87%E5%AF%86%E5%BA%A6%E9%A0%86/%E3%81%8A%E3%81%AB/%E2%98%85%C3%9710
曲名,平均密度,音符数-1
Infinite Rebellion,11.800,1303
Central Dogma Pt.1(裏譜面),10.418,1258
モノクロボイス(裏譜面),9.704,1304
赤と白薔薇の魔女,9.586,1110
ダンガンノーツ(裏譜面),9.541,1166
憎悪と醜悪の花束(裏譜面),9.506,1169
Vixtory(裏譜面),9.406,1239
気焔万丈神楽,9.102,1140
疾風怒濤(裏譜面),8.983,1082
Coquette,8.863,1021
!!!カオスタイム!!!,8.794,986
LΔchesis(裏譜面),8.695,1023
Behemoth,8.694,998
そして勇者は眠りにつく(裏譜面),8.665,1315
初音ミクの消失 ‐劇場版‐(裏譜面),8.661,998
星屑ストラック(裏譜面),8.652,1043
或ル不和,8.637,995
Clotho クロートー,8.602,982
