# https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E5%B9%B3%E5%9D%87%E5%AF%86%E5%BA%A6%E9%A0%86/%E3%81%8A%E3%81%AB/%E2%98%85%C3%9710
# https://wikiwiki.jp/taiko-fumen/%E5%8F%8E%E9%8C%B2%E6%9B%B2/%E5%B9%B3%E5%9D%87%E5%AF%86%E5%BA%A6%E9%A0%86/%E3%81%8A%E3%81%AB/%E2%98%85%C3%979
曲名,平均密度,音符数-1
Clotho クロートー,8.602,982
朱の旋律,8.037,901
ダンガンノーツ,7.909,922
ゴーゴー・キッチン(裏譜面),7.835,939
零の交響曲(裏譜面),7.297,892
EkiBEN2000,7.153,875
タベルナ2000,6.843,820
やわらか戦車(裏譜面),8.880,888
闇の魔法少女,7.911,1157
めたるぽりす(裏譜面),7.701,764
Turquoise Tachometer,7.656,834
# スカーレット警察のゲットーパトロール24時(裏譜面)(達人譜面),7.584,878
時空庁時空1課,7.489,835
# 勇者(裏譜面),7.456,656
# スカーレット警察のゲットーパトロール24時(裏譜面)(普通譜面),7.411,858
# who are you? who are you?(裏譜面),7.373,948
ルカルカ★ナイトフィーバー(裏譜面),7.330,635
蒼の旋律,7.319,932
元祖！天才チルノちゃん☆,7.298,858
夜桜謝肉祭,7.261,985
The Carnivorous Carnival,7.259,776
大好きな太鼓の音(裏譜面),7.225,875
ヒカリアレ,7.142,638
練習曲Op.10-4,7.142,851
脳漿炸裂ガール(裏譜面),7.065,709
CYBERgenicALICE,6.992,644
魔理沙は大変なものを盗んでいきました,6.988,809
熊蜂の飛行,6.968,629
ミックスナッツ(裏譜面),6.966,599
おにぎりはどこかしら♪,6.950,853
鳳凰天舞無限崩れ,6.949,688
激運！七福ハッピークルー,6.949,776
大空と太鼓の踊り,6.935,863
